AI Category,ML Model Used,ML Model Description,Primary Function,HIL (Human-in-the-Loop),AF (Algorithm Function),DT (Data Type),DF (Data Format),DQ (Data Quality),INF (Infrastructure),NAICS Code,NAICS Description,Compliance Cost,Daily Data Volume (GB),Scope
AI Energy Management,Power Plant Optimization ML,"This system uses machine learning to optimize the operation of power plants. By analyzing real-time data from sensors, the model identifies inefficiencies and suggests adjustments to improve thermal efficiency, fuel consumption, and overall plant performance.",Energy AI,Indirect,Prescriptive,Numeric,Structured,Semi-Stable,Medium,22,Utilities,Moderate,1,Department
AI Security & Surveillance,Sensor Fusion + Computer Vision,"Evolv Express Scanner integrates sensor fusion with computer vision to detect weapons and prohibited items in public spaces, such as schools and stadiums. The system uses multiple sensors, including cameras and metal detectors, to create a composite understanding of the environment and identify potential threats.",Security AI,Indirect,Assistive,Numeric,Unstructured,Unstable,Medium,56,Administrative and Support and Waste Management and Remediation Services,Very-High,1,Enterprise
AI Recruitment & HR,Text Classification Model,This AI-driven resume screening tool employs text classification models to parse and analyze resumes. It classifies candidate qualifications into predefined categories based on job requirements. The model is trained on historical hiring data to improve its accuracy in identifying the best candidates for specific job roles.,HR AI,Direct,Predictive,Text,Unstructured,Semi-Stable,Medium,54,"Professional, Scientific, and Technical Services",High,0.2,Proof of Concept
AI Social Services & Child Protection,Random Forest or Logistic Regression,"The Allegheny Child Welfare Tool uses machine learning models such as Random Forest and Logistic Regression to assess the risk to children in foster care and child protection cases. The system processes demographic and social data to identify children at risk of abuse or neglect, enabling better resource allocation and intervention.",Healthcare AI,Indirect,Predictive,Numeric,Structured,Semi-Stable,Medium,62,Health Care and Social Assistance,Very-High,1,Enterprise
AI Social Services & Child Protection,Random Forest or Logistic Regression,"The Allegheny Child Welfare Tool uses machine learning models such as Random Forest and Logistic Regression to assess the risk to children in foster care and child protection cases. The system processes demographic and social data to identify children at risk of abuse or neglect, enabling better resource allocation and intervention.",Healthcare AI,Indirect,Predictive,Numeric,Structured,Semi-Stable,Medium,62,Health Care and Social Assistance,Very-High,1,Enterprise
AI Recommendation & Personalization,Recommendation Engine,"This model applies collaborative filtering (CF) to build personalized recommendation systems. It uses user behavior and preferences to suggest products, services, or content that may interest an individual, improving user engagement and satisfaction. It's widely used in e-commerce, media streaming, and social networks for tailored content delivery.",Retail AI,Auto,Predictive,Numeric+Text,Semi-Structured,Semi-Stable,Medium,44,Retail Trade,High,1.2,Enterprise
AI Real Estate & Property Tech,Investment Property Prediction ML,"This system employs machine learning to forecast property values and identify the best investment opportunities in real estate markets. By analyzing market data and trends, the model provides insights into which properties are likely to appreciate in value, helping investors make informed decisions.",Real Estate AI,Auto,Predictive,Numeric,Structured,Semi-Stable,Medium,53,Real Estate and Rental and Leasing,Moderate,1,Department
AI Supply Chain & Demand Forecasting,Time-Series Forecasting,"This system applies machine learning to analyze time-series data and predict future trends based on historical patterns. Time-series forecasting is widely used in areas such as finance for stock market predictions, energy consumption forecasting, and demand prediction in retail or supply chain management.",Logistics AI,Indirect,Predictive,Numeric,Structured,Semi-Stable,Medium,33,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use",High,1,Department
AI Education Technology,Adaptive Learning ML,"This system applies machine learning to personalize educational content and experiences. By analyzing student performance data, the system tailors lessons to the individual learners pace, helping to optimize learning outcomes and engagement.",Content AI,Auto,Assistive,Numeric,Structured,Semi-Stable,Medium,51,Software Publishers,Moderate,1,Department
AI Supply Chain & Demand Forecasting,Risk Analysis NLP + Stats,"This system integrates Natural Language Processing (NLP) with statistical models to assess and predict risks. NLP is used to extract and analyze risk-related information from unstructured textual data, while statistical methods are employed to quantify and model the potential impact of those risks in areas like finance, insurance, and project management.",Logistics AI,Indirect,Assistive,Text+Numeric,Semi-Structured,Semi-Stable,Medium,33,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use",High,1.2,Enterprise
AI Legal Tech,NLP Document Parsing,"COIN is an AI-driven platform developed by JPMorgan to parse and analyze legal contracts using Natural Language Processing (NLP). The system extracts key information from documents, reducing the time required for reviewing contracts and identifying critical terms or clauses.",Finance AI,Direct,Automation,Text,Unstructured,Stable,Medium,52,Finance and Insurance,High,0.2,Proof of Concept
AI Drone & Aerial Delivery,CV + Path-Planning ML,"This model combines Computer Vision (CV) with Reinforcement Learning (RL) for path-planning in robotics or autonomous vehicles. CV processes visual data to identify the environment, while RL is used to optimize navigation by learning the best path to avoid obstacles, improving both efficiency and safety in dynamic environments.",Logistics AI,Auto,Automation,Image+Geospatial,Unstructured,Unstable,High,48,Transportation and Warehousing,Low,350,Proof of Concept
AI Education Technology,NLG-based Textbook Generator,This system employs Natural Language Generation (NLG) to automatically generate textbooks or educational materials tailored to different learning styles. The model uses data on learning preferences and knowledge gaps to create content that maximizes student engagement and understanding.,Content AI,Auto,Automation,Text,Unstructured,Unstable,Medium,51,Software Publishers,Moderate,0.2,Department
AI General AI Application,CNN + Sensor Fusion,"This AI system combines Convolutional Neural Networks (CNNs) for visual object detection and sensor fusion techniques to enable self-driving capabilities in autonomous vehicles. It processes data from cameras and various sensors to create a real-time understanding of the vehicle's surroundings, helping it navigate safely in complex environments.",Automotive AI,Indirect,Automation,Image,Unstructured,Unstable,High,336,Transportation Equipment Manufacturing,Very-High,4000,Multi-site-National
